"intercept","SC04Q01","RATCMP2","treated","Female","ST013Q01","ST034Q01","BELONG","ST121Q01","ST118Q04","ST011Q06","ST011Q07","MISCED","HISCED","HOMEPOS","ESCS"
0.0006558,5.44e-05,-6.68e-05,-0.0004811,-0.0001669,3.8e-06,5.08e-05,-5.15e-05,-4.4e-06,2.1e-06,-1.6e-06,7.1e-06,-4.58e-05,3.69e-05,-3.25e-05,-6.4e-06
5.44e-05,0.0005442,6.96e-05,-0.0001934,-9.07e-05,2.13e-05,-3.29e-05,3.82e-05,-7.4e-06,1.59e-05,-1e-05,4.5e-06,-1.73e-05,-2.38e-05,-3.73e-05,6.41e-05
-6.68e-05,6.96e-05,0.0009164,7.83e-05,-1.86e-05,-3.69e-05,-7e-06,1.84e-05,-1.2e-06,2.37e-05,3.4e-06,2.64e-05,-7.27e-05,8.07e-05,1.86e-05,8.6e-06
-0.0004811,-0.0001934,7.83e-05,0.0054265,-0.0001549,8.92e-05,-0.0001891,9.39e-05,5.2e-05,8.57e-05,-3.91e-05,-3.71e-05,0.0001178,-3.7e-05,4.3e-05,-0.0001128
-0.0001669,-9.07e-05,-1.86e-05,-0.0001549,0.0003401,-9.3e-06,3.6e-06,-4.3e-06,9.1e-06,-6.52e-05,-1.4e-06,1.24e-05,1.12e-05,-3.23e-05,-1.87e-05,5.56e-05
3.8e-06,2.13e-05,-3.69e-05,8.92e-05,-9.3e-06,0.0001553,3e-07,8.8e-06,-1e-07,1.86e-05,-7.1e-06,2.04e-05,-2e-07,1.6e-06,-3.84e-05,-3.53e-05
5.08e-05,-3.29e-05,-7e-06,-0.0001891,3.6e-06,3e-07,0.0001767,-0.0001319,-1.7e-06,3.7e-06,-1.15e-05,-1.79e-05,-3.56e-05,2.8e-05,-1.19e-05,-6.3e-06
-5.15e-05,3.82e-05,1.84e-05,9.39e-05,-4.3e-06,8.8e-06,-0.0001319,0.0001908,6.7e-06,2.76e-05,5.2e-06,2.66e-05,1.87e-05,-1.53e-05,0,7.7e-06
-4.4e-06,-7.4e-06,-1.2e-06,5.2e-05,9.1e-06,-1e-07,-1.7e-06,6.7e-06,9.31e-05,-1.14e-05,-7.1e-06,1.23e-05,1.15e-05,1.01e-05,8.9e-06,-1.83e-05
2.1e-06,1.59e-05,2.37e-05,8.57e-05,-6.52e-05,1.86e-05,3.7e-06,2.76e-05,-1.14e-05,0.0001205,-6.1e-06,1.44e-05,-1.91e-05,3.57e-05,1.6e-05,-2.33e-05
-1.6e-06,-1e-05,3.4e-06,-3.91e-05,-1.4e-06,-7.1e-06,-1.15e-05,5.2e-06,-7.1e-06,-6.1e-06,9.81e-05,-6e-07,1.3e-06,1.6e-06,1.62e-05,1.21e-05
7.1e-06,4.5e-06,2.64e-05,-3.71e-05,1.24e-05,2.04e-05,-1.79e-05,2.66e-05,1.23e-05,1.44e-05,-6e-07,0.0001287,1.89e-05,0,4.03e-05,3e-07
-4.58e-05,-1.73e-05,-7.27e-05,0.0001178,1.12e-05,-2e-07,-3.56e-05,1.87e-05,1.15e-05,-1.91e-05,1.3e-06,1.89e-05,0.0002221,-0.0001541,2.42e-05,-3.01e-05
3.69e-05,-2.38e-05,8.07e-05,-3.7e-05,-3.23e-05,1.6e-06,2.8e-05,-1.53e-05,1.01e-05,3.57e-05,1.6e-06,0,-0.0001541,0.0003318,8.88e-05,-0.0001851
-3.25e-05,-3.73e-05,1.86e-05,4.3e-05,-1.87e-05,-3.84e-05,-1.19e-05,0,8.9e-06,1.6e-05,1.62e-05,4.03e-05,2.42e-05,8.88e-05,0.0002527,-0.0002005
-6.4e-06,6.41e-05,8.6e-06,-0.0001128,5.56e-05,-3.53e-05,-6.3e-06,7.7e-06,-1.83e-05,-2.33e-05,1.21e-05,3e-07,-3.01e-05,-0.0001851,-0.0002005,0.0003917
